,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,preds,outcome
1,LP001015,2,1,1,Graduate,1,5720,0,110,360,1,Urban,Y,0
2,LP001022,2,1,2,Graduate,1,3076,1500,126,360,1,Urban,Y,0
3,LP001031,2,1,3,Graduate,1,5000,1800,208,360,1,Urban,Y,0
4,LP001035,2,1,3,Graduate,1,2340,2546,100,360,1,Urban,Y,0
5,LP001051,2,2,1,Not Graduate,1,3276,0,78,360,1,Urban,Y,0
6,LP001054,2,1,1,Not Graduate,2,2165,3422,152,360,1,Urban,Y,0
7,LP001055,1,2,2,Not Graduate,1,2226,0,59,360,1,Semiurban,Y,0
8,LP001056,2,1,3,Not Graduate,1,3881,0,147,360,0,Rural,N,0
9,LP001059,2,1,3,Graduate,1,13633,0,280,240,1,Urban,Y,0
10,LP001067,2,2,1,Not Graduate,1,2400,2400,123,360,1,Semiurban,Y,0
11,LP001078,2,2,1,Not Graduate,1,3091,0,90,360,1,Urban,Y,0
12,LP001082,2,1,2,Graduate,1,2185,1516,162,360,1,Semiurban,Y,0
13,LP001083,2,2,4,Graduate,1,4166,0,40,180,1,Urban,Y,0
14,LP001094,2,1,3,Graduate,1,12173,0,166,360,0,Semiurban,N,0
15,LP001096,1,2,1,Graduate,1,4666,0,124,360,1,Semiurban,Y,0
16,LP001099,2,2,2,Graduate,1,5667,0,131,360,1,Urban,Y,0
17,LP001105,2,1,3,Graduate,1,4583,2916,200,360,1,Urban,Y,0
18,LP001107,2,1,4,Graduate,1,3786,333,126,360,1,Semiurban,Y,0
19,LP001108,2,1,1,Graduate,1,9226,7916,300,360,1,Urban,Y,0
20,LP001115,2,2,1,Graduate,1,1300,3470,100,180,1,Semiurban,Y,0
21,LP001121,2,1,2,Not Graduate,1,1888,1620,48,360,1,Urban,Y,0
22,LP001124,1,2,4,Not Graduate,1,2083,0,28,180,1,Urban,Y,0
23,LP001128,2,2,1,Graduate,1,3909,0,101,360,1,Urban,Y,0
24,LP001135,1,2,1,Not Graduate,1,3765,0,125,360,1,Urban,Y,0
25,LP001149,2,1,1,Graduate,1,5400,4380,290,360,1,Urban,Y,0
26,LP001153,2,2,1,Graduate,1,0,24000,148,360,0,Rural,N,0
27,LP001163,2,1,3,Graduate,1,4363,1250,140,360,1,Urban,Y,0
28,LP001169,2,1,1,Graduate,1,7500,3750,275,360,1,Urban,Y,0
29,LP001174,2,1,1,Graduate,1,3772,833,57,360,1,Semiurban,Y,0
30,LP001176,2,2,1,Graduate,1,2942,2382,125,180,1,Urban,Y,0
31,LP001177,1,2,1,Not Graduate,1,2478,0,75,360,1,Semiurban,Y,0
32,LP001183,2,1,3,Graduate,1,6250,820,192,360,1,Urban,Y,0
33,LP001185,2,2,1,Graduate,1,3268,1683,152,360,1,Semiurban,Y,0
34,LP001187,2,1,1,Graduate,1,2783,2708,158,360,1,Urban,Y,0
35,LP001190,2,1,1,Graduate,1,2740,1541,101,360,1,Urban,Y,0
36,LP001203,2,2,1,Graduate,1,3150,0,176,360,0,Semiurban,N,0
37,LP001208,2,1,3,Graduate,1,7350,4029,185,180,1,Urban,Y,0
38,LP001210,2,1,1,Graduate,2,2267,2792,90,360,1,Urban,Y,0
39,LP001211,2,2,1,Graduate,2,5833,0,116,360,1,Urban,Y,0
40,LP001219,2,2,1,Graduate,1,3643,1963,138,360,1,Urban,Y,0
41,LP001220,2,1,1,Graduate,1,5629,818,100,360,1,Urban,Y,0
42,LP001221,1,2,1,Graduate,1,3644,0,110,360,1,Urban,Y,0
43,LP001226,2,1,1,Not Graduate,1,1750,2024,90,360,1,Semiurban,Y,0
