"","ID","crim","zn","indus","chas","nox","rm","age","dis","rad","tax","ptratio","black","lstat","medv"
"1",3,0.02729,0,7.07,"0",0.469,7.185,61.1,4.9671,2,242,17.8,392.83,4.03,35.26048
"2",6,0.02985,0,2.18,"0",0.458,6.43,58.7,6.0622,3,222,18.7,394.12,5.21,26.82913
"3",8,0.14455,12.5,7.87,"0",0.524,6.172,96.1,5.9505,5,311,15.2,396.9,19.15,16.9743845977011
"4",9,0.21124,12.5,7.87,"0",0.524,5.631,100,6.0821,5,311,15.2,386.63,29.93,16.3389645977011
"5",10,0.17004,12.5,7.87,"0",0.524,6.004,85.9,6.5921,5,311,15.2,386.71,17.1,18.4143052380952
"6",18,0.7842,0,8.14,"0",0.538,5.99,81.7,4.2579,4,307,21,386.75,14.67,18.7709866666667
"7",20,0.7258,0,8.14,"0",0.538,5.727,69.5,3.7965,4,307,21,390.95,11.28,20.0067044444444
"8",25,0.75026,0,8.14,"0",0.538,5.924,94.1,4.3996,4,307,21,394.33,16.3,16.31973
"9",26,0.84054,0,8.14,"0",0.538,5.599,85.7,4.4546,4,307,21,303.42,16.51,16.4573066666667
"10",27,0.67191,0,8.14,"0",0.538,5.813,90.3,4.682,4,307,21,376.88,14.81,18.0286833333333
"11",29,0.77299,0,8.14,"0",0.538,6.495,94.4,4.4547,4,307,21,387.94,12.8,18.4839533333333
"12",30,1.00245,0,8.14,"0",0.538,6.674,87.3,4.239,4,307,21,380.23,11.98,20.0343352380952
"13",33,1.38799,0,8.14,"0",0.538,5.95,82,3.99,4,307,21,232.6,27.71,15.8423033333333
"14",34,1.15172,0,8.14,"0",0.538,5.701,95,3.7872,4,307,21,358.77,18.35,14.6304866666667
"15",36,0.06417,0,5.96,"0",0.499,5.933,68.2,3.3603,5,279,19.2,396.9,9.68,22.44952
"16",37,0.09744,0,5.96,"0",0.499,5.841,61.4,3.3779,5,279,19.2,377.56,11.41,22.1389333333334
"17",38,0.08014,0,5.96,"0",0.499,5.85,41.5,3.9342,5,279,19.2,396.9,8.77,22.77965
"18",42,0.12744,0,6.91,"0",0.448,6.77,2.9,5.7209,3,233,17.9,385.41,4.84,29.01988
"19",49,0.25387,0,6.91,"0",0.448,5.399,95.3,5.87,3,233,17.9,396.9,30.81,17.5942445977012
"20",53,0.0536,21,5.64,"0",0.439,6.511,21.1,6.8147,4,243,16.8,396.9,5.28,25.4588366666667
